skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
PhoenixSupremePower	503		phoenixstrikeaura	23	65	1	40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice		73731	progressive_other	progressive_other		60	progressive_other	3	progressive_tohit	par4																																																																14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										0	0		rng	3																												1											30	20													1						1	8	0	0	1	1	1	1	5			1			par2								24	radius of jump to next target	20	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level	24	chaos ice bolts	20	chain lightning skip	25	tohit bonus for each charge-up	10	damage synergy	1	105	15						8	128																																				100
ChromaticOrbUber	504													chromaticorbuber																																																															sorceress_cast_cold											ice_cast_3				29					chromaticorbuber												0	8		none												SC	SC	SC																	1						sorceress_cast_cold			30	20												20-((stat('cooldownrate'.accr)*2)/10)	1						1	8	21	1	1																														5	freeze synergy	3	damage synergy	1								8															cold	52	52	104	156	208	208	104	52	104	156	208	208		200	25	25	25					100
ChromaticOrbBurnDummy	505																																																																																																												0																																																																																																					1								8															fire	52	52	104	156	208	208	104	52	104	156	208	208										0
ChromaticOrbNovaDummy	506																																																																																																												0																																																																																																					1								8															cold	52	52	104	156	208	208	104	52	104	156	208	208										0
Unused29	507																																																																																																																																																																																																																																																														
DiabloLaser	508				8												diablolaser																																																												necromancer_bone_cast															17					diablolaser												0	1		none												SC	SC	SC																	1						necromancer_bone_cast			12	25													1						1	7	4	1	1										6	# missiles	1	activation frame					6	number of missiles	0	additional missiles/level	0	Acivation frame of teeth							5	damage synergy	7	damage synergy	1								8															mag	15	15	30	45	60	60	30	15	30	45	60	60		50	10	10	10					100
LesserTeleport	509		lesserteleport		27																																																																								sorceress_teleport											teleport																			1		0	0		none												SC	SC	xx																	1		1	2			sorceress_teleport			-5	1								1				37	1						1	8	20		1	1																																	1								8																																					100
END ITEMUSE SKILLS	510																																																																																																																																																																																																																																																														0
GHoly Shock	511				66																42883	holyshock			ln12/2																							lightmindam	edmn	lightmaxdam	edmx																																																										1	0		none														xx																																														0	8	0	0	1	1	1		25														6	radius	1	additional radius per level					6	damage to attack multiplier					7	synergy	1				16385				8															ltng	1	1	1	1	1	1	16	16	32	48	64	80	(skill('FireGolem'.lvl)+skill('IronGolem'.lvl)+skill('Clay Golem'.lvl))*(par8*(1+stat('ltng_multi'.accr)))									0
GHoly Freeze	512				66																42883	holywind			ln12/2																							coldmindam	edmn	coldmaxdam	edmx																																																										1	0		none														xx																																														0	8	0	0	1	1	1		25														6	radius	1	additional radius per level					6	damage to attack multiplier					7	synergy	1				16385				8															cold	4	4	8	16	32	49	16	8	8	16	32	49	(skill('FireGolem'.lvl)+skill('IronGolem'.lvl)+skill('BloodGolem'.lvl))*(par8*(1+stat('cold_multi'.accr)))	50	3	3	3					0
MeteorUberBurnDummy	513																																																																																																																																																																																																																	1								8															fire	52	52	104	156	208	208	104	52	104	156	208	208										
MeteorUberNovaDummy	514																																																																																																																																																																																																																	1								8															fire	52	52	104	156	208	208	104	52	104	156	208	208										
DiabloLaserTrailDummy	515																																																																																																																																																																																																																	1								8															mag	15	15	30	45	60	60	30	15	30	45	60	60										
DiabloLaserNovaDummy	516																																																																																																																																																																																																																									8															mag	15	15	30	45	60	60	30	15	30	45	60	60										
ChromaticOrbFinalNovaDummy	517																																																																																																																																																																																																																									9															ltng	52	52	104	156	208	208	104	52	104	156	208	208										
FireDragonBreathInferno	518			53	95												baalinfernofire																																																												baal_missilecast															54					baalinfernofire												1	0		none												SC	SC	xx																																																		1										25	length of fire	75		2	density			1	frame length						?									1								8															fire	256	256	256	256	256	256	256	256	256	256	256	256										0
FireDragonTornado	519			53	118												tornadofire				42371				par2																																																				druid_windcast															69					tornadofire												1	0		none												SC	SC	SC				1	4												1																							1						1	8	8	1	1										3	# missiles					par1	damage delay	15	Frame delay between damage	3	Radius of damage											6	damage synergy	1								8															fire	768	768	768	768	768	768	768	768	768	768	768	768										100
PoisonDragonBreathInferno	520			53	95												baalinfernopoison																																																												baal_missilecast															54					baalinfernopoison												1	0		none												SQ	SQ	xx																																																		1										25	length of fire	75		2	density			20	frame length						?									1								6															pois	32	32	32	32	32	32	32	32	32	32	32	32		150								0
PoisonDragonTornado	521			53	118												tornadopoison				42371				par2																																																				druid_windcast															69					tornadopoison												1	0		none												SC	SC	SC				1	4												1																							1						1	8	8	1	1										3	# missiles					par1	damage delay	15	Frame delay between damage	3	Radius of damage											6	damage synergy	1								6															pois	96	96	96	96	96	96	96	96	96	96	96	96		150								100
MagicDragonBreathInferno	522			53	95												baalinfernomagic																																																												baal_missilecast															54					baalinfernomagic												1	0		none												SQ	SQ	xx																																																		1										25	length of fire	75		2	density			20	frame length						?									1								8															mag	256	256	256	256	256	256	256	256	256	256	256	256										0
MagicDragonTornado	523			53	118												tornadomagic				42371				par2																																																				druid_windcast															69					tornadomagic												1	0		none												SC	SC	SC				1	4												1																							1						1	8	8	1	1										3	# missiles					par1	damage delay	15	Frame delay between damage	3	Radius of damage											6	damage synergy	1								8															mag	768	768	768	768	768	768	768	768	768	768	768	768										100
ChaosMageInfernoCold	524			53	95												mageinfernocold																																																												baal_missilecast															54					mageinfernocold												1	0		none												SQ	SQ	xx																																																		1										25	length of fire	75		2	density			20	frame length						?									1								8															cold	256	256	256	256	256	256	256	256	256	256	256	256		150								0
ChaosMageInfernoPoison	525			53	95												mageinfernopoison																																																												baal_missilecast															54					mageinfernopoison												1	0		none												SQ	SQ	xx																																																		1										25	length of fire	75		2	density			20	frame length						?									1								6															pois	32	32	32	32	32	32	32	32	32	32	32	32		150								0
ChaosMageInfernoMagic	526			53	95												mageinfernomagic																																																												baal_missilecast															54					mageinfernomagic												1	0		none												SQ	SQ	xx																																																		1										25	length of fire	75		2	density			20	frame length						?									1								8															mag	256	256	256	256	256	256	256	256	256	256	256	256										0
MonsterPlaceTrap1	527													monsterplacetrap1																																																																																		monsterplacetrap1													1	0		none												SC	SC	A1																																																		1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonsterPlaceTrap2	528													monsterplacetrap2																																																																																		monsterplacetrap2													1	0		none												SC	SC	A1																																																		1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonsterPlaceTrap3	529													monsterplacetrap3																																																																																		monsterplacetrap3													1	0		none												SC	SC	A1																																																		1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
FingerMageSpiderFire	530				101												fingermagespiderfire						redcolor	ln12		maxfireresist	5																																																		fingermage_bolt_cast_1															57					fingermagespiderfire												1	0		none												SQ	SQ	S1																																																		1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8															fire	875	875	875	875	875	875	875	875	875	875	875	875										0
FingerMageSpiderCold	531				101												fingermagespidercold						cblue	ln12		maxcoldresist	5																																																		fingermage_bolt_cast_1															57					fingermagespidercold												1	0		none												SQ	SQ	S1																																																		1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8															cold	875	875	875	875	875	875	875	875	875	875	875	875										0
FingerMageSpiderLightning	532				101												fingermagespiderlightning						gold	ln12		maxlightresist	5																																																		fingermage_bolt_cast_1															57					fingermagespiderlightning												1	0		none												SQ	SQ	S1																																																		1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8															ltng	875	875	875	875	875	875	875	875	875	875	875	875										0
PB1armageddon	533				124												pb1armageddoncontrol	pb1armageddoncontrol	pb1armageddoncontrol			armageddon		ln12	par3																																																				druid_firecast_a											druid_fire_cast_1					92				pb1armageddontail	pb1armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1															1																		150	base duration	0	duration per level	24	radius to drop meteors	10	frame delay between rocks									1								8															fire	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB1summonadd2	534				8												phaseboss1spawnadd1																																																												druid_firecast_a											druid_fire_cast_2			19	17					phaseboss1spawnadd1	phaseboss1spawnadd1											1	1		none												SC	SC	SC																	1																							1										1										min((ln12/3),12)	# missiles	par3	activation frame					9	number of missiles	0	additional missiles/level	0	Acivation frame of teeth							6	damage synergy	8	damage synergy	1								7																																					100
PB1armageddonfire	535																																																																												druid_firecast_a											druid_fire_cast_1																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								8															fire	320	320	320	320	320	320	320	320	320	320	320	320										100
PB1Firestorm	536				117												pb1firestormmaker																																																												druid_firecast_b											druid_fire_cast_2				67					pb1firestormmaker												1	0		none												SC	SC	xx				1													1																		1					1																				ln12+skill('Molten Boulder'.blvl)/5	# missiles							12	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy	1								8															fire	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB1Volcano	537				123												pb1volcano								par1																																																				druid_firecast_a											druid_fire_cast_2					91				pb1volcano overlay fire	pb1volcano											1	0		none												SC	SC	xx				1	4				1								1																		1																															par2	damage delay	12	debris range	2	delay between debris									7	damage synergy	7	fire damage synergy	1								8															fire	2560	2560	2560	2560	2560	2560	2560	2560	2560	2560	2560	2560										100
PB2Blessed Hammer	538													pb2hammerorb			pb2hammerorb																																																												sorceress_cast_cold											ice_cast_2								pb2hammerorb	pb2hammerorb												1	2		none												SC	SC	xx																	1																							1																												4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			6	damage synergy	1								8															cold	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB2Shock Field	539				43					par1+lvl/par2							pb2shock field in air								2+lvl/6																																																				sorceress_cast_cold				sorceress_cast_cold							ice_cast_2				5					pb2shock field in air												1	0		rng												SC	SC	xx				1													1																							1																												8	Number of missiles	0	Levels per missile									6	damage synergy	8	damage synergy	1								8															cold	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120							11			100
PB2Bone Spirit	540				10												pb2bonespirit	pb2bonespirit																																																											sorceress_cast_cold											ice_cast_2				18					pb2bonespirit												1	7		none												SC	SC	SC																	1			4																				1																				0	dmg%																					5	damage synergy	1								8															cold	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB2SCold Missiles	541				139												pb2cold wave maker																																																												baal_coldtrailcast											ice_cast_2				81					pb2cold wave maker												1	0		none												SC	SC	SC				1																																				1																																								6	damage synergy	8	damage synergy	1								8															cold	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280		200	25	25	25		11			100
PB2armageddon	542				124												pb2armageddoncontrol	pb2armageddoncontrol	pb2armageddoncontrol			armageddon		ln12	par3																																																				sorceress_cast_cold											ice_cast_2					92				pb2armageddontail	pb2armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1																																	150	base duration	0	duration per level	16	radius to drop meteors	10	frame delay between rocks									1								8															cold	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB2armageddonfire	543																																																																												sorceress_cast_cold											ice_cast_2																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								8															cold	320	320	320	320	320	320	320	320	320	320	320	320										100
PB2Glacial Spike	544													pb2glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								pb2glacialspike													1	7		none												SC	SC	SC																	1																							1																												5	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	6	damage synergy	1								8															cold	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB3armageddon	545				124												pb3armageddoncontrol	pb3armageddoncontrol	pb3armageddoncontrol			armageddon		ln12	par3																																																				sorceress_cast_cold											ice_cast_2					92				pb3armageddontail	pb3armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1																																	150	base duration	0	duration per level	16	radius to drop meteors	10	frame delay between rocks									1								8															ltng	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB3SNova	546				22												pb3snova	pb3snova	pb3snova																																																										sorceress_cast_lightning											light_cast_1				25					pb3snova												1	2		none												SC	SC	SC																	36	10																																																																6	damage synergy	1								8															ltng	960	960	960	960	960	960	960	960	960	960	960	960										100
PB3Inferno	547			53	95												pb3inferno																																																												baal_missilecast											light_cast_1				54					pb3inferno												1	0		none												SC	SC	xx																																																		1										50	length of fire	75		2	density			1	frame length						?									1								8															ltng	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										0
PB3PhoenixChaosIce	548				143					4							pb3sucshockfieldmissile	pb3sucshockfieldmissile	pb3sucshockfieldmissile																																																										sorceress_cast_lightning											light_cast_1				83					pb3sucshockfieldmissile												1	1		none												SC	SC	xx																	1																							1										1										min(30,ln12/2)	# bolts																					7	damage synergy	1								8															ltng	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB3SFire Wall	549				24												pb3sfirewallmaker	pb3sfirewall																																																											sorceress_cast_lightning											light_cast_1				26					pb3sfirewallmaker												1	4		none												SC	SC	SC					4				1								1																																	1																																6	damage synergy	1								8															ltng	640	640	640	640	640	640	640	640	640	640	640	640										100
PB3Hurricane @ ID 421, bugged	550				124																42883	hurricane		500	16																																																				sorceress_cast_lightning										druid_hurricane	light_cast_1									pb3hurricaneswoosh	pb3hurricanecart	pb3hurricanerock		3	debris/frame	75	height					1	0		none												SC	SC	SC				1													1																		1															1	1																	500	base duration	0	duration per level			25	frames per hit search	16	radius			100	duration synergy	7	damage synergy	1				1	2			8															ltng	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB3armageddonfire	551																																																																												sorceress_cast_lightning											light_cast_1																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								8															ltng	320	320	320	320	320	320	320	320	320	320	320	320										100
PB3Charged Bolt	552				17												pb3chargedbolt	pb3chargedbolt	pb3chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					pb3chargedbolt												1	1		none												SC	SC	xx																	1																							1										1										min(30,ln12/2)	# bolts							6	Bolts to send out (1/2)	0	Additional bolts per level (1/2)											7	damage synergy	1								8															ltng	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB4Frozen Orb	553													pb4frozenorb																																																															necromancer_poison_cast											poisonsparks				29					pb4frozenorb												1	8		none												SC	SC	SC																	1																							1										1																														5	freeze synergy	6	damage synergy	1								7															pois	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280		150								100
PB4armageddonfire	554																																																																												necromancer_poison_cast											poisonsparks																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								7															pois	80	80	80	80	80	80	80	80	80	80	80	80		150								100
PB4armageddon	555				124												pb4armageddoncontrol	pb4armageddoncontrol	pb4armageddoncontrol			armageddon		ln12	par3																																																				necromancer_poison_cast											poisonsparks					92				pb4armageddontail	pb4armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1																																	150	base duration	0	duration per level	16	radius to drop meteors	10	frame delay between rocks									1								7															pois	80	80	80	80	80	80	80	80	80	80	80	80		150								100
PB4Inferno	556			53	95												pb4inferno																																																												baal_missilecast											poisonsparks				54					pb4inferno												1	0		none												SC	SC	xx																																																		1										50	length of fire	75		2	density			1	frame length						?									1								7															pois	80	80	80	80	80	80	80	80	80	80	80	80		150								0
PB4CatapultPlague	557				28												pb4catapult plague ball																																																												necromancer_poison_cast											poisonsparks			47						pb4catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																																																		1																			?		?		?		?		?		?					1								7															pois	180	180	180	180	180	180	180	180	180	180	180	180		150								0
PB4Blessed Hammer	558													pb4hammerorb			pb4hammerorb																																																												necromancer_poison_cast											poisonsparks								pb4hammerorb	pb4hammerorb												1	2		none												SC	SC	xx																	1																							1										1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			6	damage synergy	1								7															pois	80	80	80	80	80	80	80	80	80	80	80	80		150								100
PB4STeeth	559				8												pb4steeth																																																												necromancer_bone_cast											poisonsparks			19	17					pb4steeth	pb4steeth	bonecast										1	1		none												SC	SC	SC																	1																							1										1										3	# missiles	0	activation frame					6	number of missiles	1	additional missiles/level	0	Acivation frame of teeth							6	damage synergy	8	damage synergy	1								7															pois	80	80	80	80	80	80	80	80	80	80	80	80		150					11			100
PB5armageddon	560				124												pb5armageddoncontrol	pb5armageddoncontrol	pb5armageddoncontrol			armageddon		ln12	par3																																																				druid_windcast											psychic_hammer_curse					92				pb5armageddontail	pb5armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1																																	150	base duration	0	duration per level	16	radius to drop meteors	10	frame delay between rocks									1								8		1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280																150								100
PB5armageddonfire	561																																																																												druid_windcast											psychic_hammer_curse																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								8		1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280																150								100
PB5Molten Boulder	562													pb5moltenboulderemerge											par1																																																				druid_windcast											psychic_hammer_curse								pb5moltenboulderemerge													1	0		none												SC	SC	xx				1													1																		1					1																												5	Explosion Radius													6	fire/phys damage synergy	1								8		1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280																								100
PB5Molten Boulder Fire	563																								par1																																																				druid_windcast											psychic_hammer_curse																					1	0		none												SC	SC	xx				1													1																		1					1																												0	Explosion Radius													6	fire/phys damage synergy	1								8		320	320	320	320	320	320	320	320	320	320	320	320																								100
PB5Blessed Hammer Original	564				73												pb5frozenorb																																																												druid_windcast											psychic_hammer_curse				35					pb5frozenorb												1	2		none												SC	SC	xx																	1																							1										1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			6	damage synergy	1								8		1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280																								100
PB5STeeth	565				8												pb5steeth																																																												druid_windcast											psychic_hammer_curse			19	17					pb5steeth	pb5steeth	bonecast										1	1		none												SC	SC	SC																	1																							1										1										3	# missiles	0	activation frame					6	number of missiles	1	additional missiles/level	0	Acivation frame of teeth							6	damage synergy	8	damage synergy	1								8		1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280																1					11			100
PB5ArmageddonRainOfJavs	566		frozen orb2		124												pb5armageddoncontroljav	pb5armageddoncontroljav	pb5armageddoncontroljav			armageddon		ln12	par3																																																				druid_windcast											psychic_hammer_curse					92				pb5armageddontailjav	pb5armageddonrockjav			25	frames	40	fall rate	23	slide rate			1	0		none												SC	SC	xx				1													1																		1															1																		50	base duration		duration per level	20	radius to drop meteors	0	frame delay between rocks							5	damage synergy	1								8		2560	2560	2560	2560	2560	2560	2560	2560	2560	2560	2560	2560																								100
PB5Blizzard	567				28												pb5blizzardcenter	pb5blizzardcenter	pb5blizzardcenter																																																										druid_windcast											psychic_hammer_curse				28					pb5blizzardcenter												1	7		none												SC	SC	xx									1								1																																	1										par1	radius	par3	frequency					8	radius			1	Missile delay	0	Change duration in Missiles.xls					5	freeze synergy	7	damage synergy	1								8		640	640	640	640	640	640	640	640	640	640	640	640																								100
PB6SCold Missiles	568				139												pb6cold wave maker																																																												amazon_valkyrie_cast											cast_innersight				81					pb6cold wave maker												1	0		none												SC	SC	SC				1																																				1										1																														6	damage synergy	8	damage synergy	1								8															mag	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280							11			100
PB6armageddon	569				124												pb6armageddoncontrol	pb6armageddoncontrol	pb6armageddoncontrol			armageddon		ln12	par3																																																				amazon_valkyrie_cast											cast_innersight					92				pb6armageddontail	pb6armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1																		1																																	150	base duration	0	duration per level	16	radius to drop meteors	10	frame delay between rocks									1								8															mag	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB6armageddonfire	570																																																																												amazon_valkyrie_cast											cast_innersight																					1	0		none												SC	SC	xx				1	4												1																		1															1																																		1								8															mag	320	320	320	320	320	320	320	320	320	320	320	320										100
PB6Frozen Orb	571													pb6frozenorb																																																															amazon_valkyrie_cast											cast_innersight				29					pb6frozenorb												1	8		none												SC	SC	SC																	1																							1										1																														5	freeze synergy	6	damage synergy	1								8															mag	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										100
PB6MagicInferno	572			53	95												pb6baalinfernomagic																																																												amazon_valkyrie_cast											cast_innersight				54					pb6baalinfernomagic												1	0		none												SQ	SQ	xx																																																		1										55	length of fire	25		2	density			20	frame length						?									1								8															mag	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280										0
PB6Blaze @ ID 422	573																																																																												amazon_valkyrie_cast											cast_innersight																																																																																																																																																																							
PB6Charged Bolt	574				17												pb6chargedbolt	pb6chargedbolt	pb6chargedbolt																																																										amazon_valkyrie_cast											cast_innersight				23					pb6chargedbolt												1	1		none												SC	SC	xx																	1																							1										1										min(30,ln12/2)	# bolts							6	Bolts to send out (1/2)	0	Additional bolts per level (1/2)											7	damage synergy	1								8															mag	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120	5120										100
PB6Charged Bolt Ground	575				17												pb6chargedbolt	pb6chargedbolt	pb6chargedbolt																																																										amazon_valkyrie_cast											cast_innersight				23					pb6chargedbolt												1	1		none												SC	SC	xx																	1																							1										1										min(30,ln12/2)	# bolts							6	Bolts to send out (1/2)	0	Additional bolts per level (1/2)											7	damage synergy	1								8															mag	320	320	320	320	320	320	320	320	320	320	320	320										100
PB6Frozen Orb Retaliate	576													pb6frozenorbretaliate																																																															amazon_valkyrie_cast											cast_innersight				29					pb6frozenorbretaliate												1	8		none												SC	SC	SC																	1																							1										1																														5	freeze synergy	6	damage synergy	1								8															mag	640	640	640	640	640	640	640	640	640	640	640	640										100
AndrialSpray Map	577			46	88												andarielspraymap																																																																										34	48					andarielspraymap												1	0		none												SQ	SQ	xx																										1																								1																																		1								8		550	550	550	550	550	550	550	550	550	550	550	550		pois	93	93	93	93	93	93	93	93	93	93	93	93		100								0
Armageddon Map	578		armageddon		124												armageddoncontrol	armageddoncontrol	armageddoncontrol			armageddon		ln12	par3																																																				druid_firecast_a																92				armageddontail	armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1									24	20								1											1	8	36	2	1																		275	base duration	25	duration per level	9	radius to drop meteors	3	frame delay between rocks							5	damage synergy	1								8															mag	625	625	625	625	625	625	625	625	625	625	625	625										100
Bash Map	579		bash	32	2																																																																									barbarian_grunt_small_1	1																														1	7		h2h		mele										A1	A1	A1				1		1	1								1											18	25													1						1	6	2	0	1										ln12+(skill('Stun'.blvl)+skill('Concentrate'.blvl)+skill('Berserk'.blvl))*par8	damage%	ln34	post dmg add		attack rate bonus			10	Damage % base	10	Damage % per level	0	Min Damage	0	Min Damager per level			1	min dmg synergy	5	to hit synergy	15	damage synergy	1			15+lvl*5+skill('Concentrate'.blvl)*par7	8		112		8	160																																				100
Battle Cry Map	580		battle cry		68												battlecry				98304		battlecry	ln12+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	-min(95,ln34+(skill('Taunt'.blvl)+skill('War Cry'.blvl))*par4)	damagepercent	-min(95,ln56+(skill('Taunt'.blvl)+skill('War Cry'.blvl))*par6)																																																	barbarian_battlecry_1														25					battlecry												1	9		none												SC	SC	xx				1													1									18	25								1											1	8	5	0	1																		300	duration	100	duration/level	50	% AC for target	10	% AC/level	10	% damage for target	1	% damage/level			50	duration synergy	1								8																																					100
Berserk Map	581		berserk	39	2																	berserk		par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))		damageresist	par5	armor_override_percent	-100+min(100,(skill('Shout'.blvl)+skill('Iron Skin'.blvl))*par6)																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	A1				1		1	1								1		1									24	20													1						1	8	4	0	1										(100+stat('strength'.accr)+ln12+(skill('Bash'.blvl) + skill('Stun'.blvl)+skill('Concentrate'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100-stat('strength'.accr)	damage%	par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))	duration			100	convert%	10	Damage % base	10	Damage % per level	25	min vulnerable duration	75	max vulerable duration	0	damage resist bonus	3	armor penalty synergy	5	to hit synergy	12	damage synergy	1			100+lvl*15+skill('Concentrate'.blvl)*par7					8	160														mag																						100
