Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add	sort
of Intuition	100	1	1	40	60	12				8	406	enr%		2	3											lcha										0	0	0	906
of Intuition	100	1	1	60		24				8	406	enr%		3	4											lcha										0	0	0	906
of Wisdom	100	1	1	80		42				7	406	enr%		4	5											lcha										0	0	0	907
of Wisdom	100	1	1	95		60				6	406	enr%		5	6											lcha										0	0	0	908
																																							909
of the Manatee	100	1	1	5	40	3				8	407	vit%		1	2											lcha										0	0	0	910
of the Manatee	100	1	1	40	60	12				8	407	vit%		2	3											lcha										0	0	0	911
of the Manatee	100	1	1	60		24				8	407	vit%		3	4											lcha										0	0	0	911
of the Orca	100	1	1	80		42				7	407	vit%		4	5											lcha										0	0	0	912
of the Orca	100	1	1	95		60				6	407	vit%		5	6											lcha										0	0	0	913
																																							914
of Ignition	100	1	1	5	40	3				8	408	extra-fire		1	2											mcha										0	0	0	915
of Ignition	100	1	1	40	60	12				8	408	extra-fire		2	3											mcha										0	0	0	916
of Ignition	100	1	1	60		24				8	408	extra-fire		3	4											mcha										0	0	0	916
of Conflagration	100	1	1	80		42				7	408	extra-fire		4	5											mcha										0	0	0	917
of Conflagration	100	1	1	95		60				6	408	extra-fire		5	6											mcha										0	0	0	918
																																							919
of Current	100	1	1	5	40	3				8	408	extra-ltng		1	2											mcha										0	0	0	920
of Current	100	1	1	40	60	12				8	408	extra-ltng		2	3											mcha										0	0	0	921
of Current	100	1	1	60		24				8	408	extra-ltng		3	4											mcha										0	0	0	921
of the Stormcloud	100	1	1	80		42				7	408	extra-ltng		4	5											mcha										0	0	0	922
of the Stormcloud	100	1	1	95		60				6	408	extra-ltng		5	6											mcha										0	0	0	923
																																							924
of the Icicle	100	1	1	5	40	3				8	408	extra-cold		1	2											mcha										0	0	0	925
of the Icicle	100	1	1	40	60	12				8	408	extra-cold		2	3											mcha										0	0	0	926
of the Icicle	100	1	1	60		24				8	408	extra-cold		3	4											mcha										0	0	0	926
of Permafrost	100	1	1	80		42				7	408	extra-cold		4	5											mcha										0	0	0	927
of Permafrost	100	1	1	95		60				6	408	extra-cold		5	6											mcha										0	0	0	928
																																							929
of Malady	100	1	1	5	40	3				8	408	extra-pois		1	2											mcha										0	0	0	930
of Malady	100	1	1	40	60	12				8	408	extra-pois		2	3											mcha										0	0	0	931
of Malady	100	1	1	60		24				8	408	extra-pois		3	4											mcha										0	0	0	931
of Miasma	100	1	1	80		42				7	408	extra-pois		4	5											mcha										0	0	0	932
of Miasma	100	1	1	95		60				6	408	extra-pois		5	6											mcha										0	0	0	933
																																							934
of Obscenety	100	1	1	5	40	3				8	408	extra-mag2		1	2											mcha										0	0	0	935
of Obscenety	100	1	1	40	60	12				8	408	extra-mag2		2	3											mcha										0	0	0	936
of Obscenety	100	1	1	60		24				8	408	extra-mag2		3	4											mcha										0	0	0	936
of Vulgarity	100	1	1	80		42				7	408	extra-mag2		4	5											mcha										0	0	0	937
of Vulgarity	100	1	1	95		60				6	408	extra-mag2		5	6											mcha										0	0	0	938
																																							939
of the Breeze	100	1	1	5	40	3				8	408	extra-wind		1	2											mcha										0	0	0	940
of the Breeze	100	1	1	40	60	12				8	408	extra-wind		2	3											mcha										0	0	0	941
of the Breeze	100	1	1	60		24				8	408	extra-wind		3	4											mcha										0	0	0	941
of the Cyclone	100	1	1	80		42				7	408	extra-wind		4	5											mcha										0	0	0	942
of the Cyclone	100	1	1	95		60				6	408	extra-wind		5	6											mcha										0	0	0	943
																																							944
of Bounty	100	1	1	5	40	4				13	355	gold%		3	6											scha										0	0	0	945
of Bounty	100	1	1	20	60	18				13	355	gold%		5	8											scha										0	0	0	945
of Bounty	100	1	1	60		48				12	355	gold%		7	10											scha										0	0	0	946
of Prosperity	100	1	1	80		60				11	355	gold%		9	12											scha										0	0	0	947
of Prosperity	100	1	1	95		66				10	355	gold%		11	14											scha										0	0	0	948
of the Hoard	100	1	1	95		66				2	355	gold%/lvl	2													scha										0	0	0	949
																																							950
of Fate	100	1	1	5	40	4				13	356	mag%		1	3											scha										0	0	0	951
of Fate	100	1	1	20	60	18				13	356	mag%		3	5											scha										0	0	0	951
of Fate	100	1	1	60		48				12	356	mag%		5	7											scha										0	0	0	952
of the Rabbit's Foot	100	1	1	80		60				11	356	mag%		7	9											scha										0	0	0	953
of the Rabbit's Foot	100	1	1	95		66				10	356	mag%		9	11											scha										0	0	0	954
of the Treasury	100	1	1	95		66				2	356	mag%/lvl	2													scha										0	0	0	955
																																							956
of the Incense	100	1	1	20	60	18				28	357	abs-fire		1	2											scha										0	0	0	957
of the Incense	100	1	1	60		48				26	357	abs-fire		2	3											scha										0	0	0	958
of the Incense		1	1	80		60				26	357	abs-fire		3	4											scha													
of the Forge	100	1	1	95		66				22	357	abs-fire		4	5											scha										0	0	0	959
of the Forge	100	1	1	95		66				18	357	abs-fire		5	6											scha										0	0	0	960
																																							961
of the Penguin	100	1	1	20	60	18				28	358	abs-cold		1	2											scha										0	0	0	962
of the Penguin	100	1	1	60		48				26	358	abs-cold		2	3											scha										0	0	0	963
of the Penguin		1	1	80		60				26	358	abs-cold		3	4											scha													
of the Snow Rabbit	100	1	1	95		66				22	358	abs-cold		4	5											scha										0	0	0	964
of the Snow Rabbit	100	1	1	95		66				18	358	abs-cold		5	6											scha										0	0	0	965
																																							966
of Discharge	100	1	1	20	60	18				28	359	abs-ltng		1	2											scha										0	0	0	967
of Discharge	100	1	1	60		48				26	359	abs-ltng		2	3											scha										0	0	0	968
of Discharge		1	1	80		60				26	359	abs-ltng		3	4											scha													
of Nimbus	100	1	1	95		66				22	359	abs-ltng		4	5											scha										0	0	0	969
of Nimbus	100	1	1	95		66				18	359	abs-ltng		5	6											scha										0	0	0	970
																																							971
of Refreshment	100	1	1	20	60	18				28	358	regen		1	4	regen-mana		1	4							scha										0	0	0	972
of Refreshment	100	1	1	60		48				26	358	regen		4	7	regen-mana		4	7							scha										0	0	0	973
of Refreshment		1	1	80		60				26	358	regen		7	10	regen-mana		7	10							scha													
of Revitalization	100	1	1	95		66				22	358	regen		10	13	regen-mana		10	13							scha										0	0	0	974
of Revitalization	100	1	1	95		66				18	358	regen		13	16	regen-mana		13	16							scha										0	0	0	975
																																							976
of Counterbalance	100	1	1	20	60	18				28	359	balance1		3	4											lcha										0	0	0	977
of Counterbalance	100	1	1	60		48				26	359	balance1		4	8											lcha										0	0	0	978
of Equilibrium	100	1	1	80		60				22	359	balance1		5	12											lcha										0	0	0	979
of Equilibrium	100	1	1	95		66				18	359	balance1		6	16											lcha										0	0	0	980
																																							
ChitNor	100	1	1	1		1				1	101	randomize		1	120											chw1	cha1									0	0	0	981
ChitNM	100	1	1	1		1				1	101	randomize		1	120											chw2	cha2									0	0	0	982
ChitHell	100	1	1	1		1				1	101	randomize		1	120											chw3	cha3									0	0	0	983
RndStone	100	1	1	1		1				1	101	randomize		1	511											rstn										0	0	0	984
