skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Frozen Armor	40	sor	frozen armor		18																			frozenarmor		ln34		skill_armor_percent	ln12+skill('Lightning Mastery'.blvl)*par8	passive_ltng_pierce	blvl	item_absorblight_percent	skill('Aerial Shield'.blvl)/2							damagedinmelee	2																																																					sorceress_cast_lightning				sorceress_frozenarmor							light_cast_1	frozenarmor_hit																					1	0		none												SC	SC	xx																				1							sorceress_cast_cold	ice_cast_1		1	30								1						0	1					1	7	22	1	1	1										ln56	freeze length											20	% AC base	10	% AC per level	3000	Duration	500	Duration per level	50	Freeze Frames	3	Freeze Frames per level	250	duration synergy	10	ac synergy									1								8															ltng	1						15	15	25	35	45	45							1			1000	0
Meteor Shower	41	sor	meteor shower	13	29													meteorshower						thunderstorm		ln12																																																																				sorceress_thunder_cast											fire_cast_2						84				meteorshower												1	5		none												SC	SC	SC																				1										30	20					Rain of Fire									0	1					1	8	19	1	1	1		1	max(15,775/(lvl+11))							1+lvl/20												800	duration	200	additional duration/level	12	minimum repeat time	60	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius	6	damage synergy									1								8	13														fire	2	2	3	4	5	5	4	3	4	5	6	6	(skill('Fanatic Swing'.blvl)+skill('Enchant'.blvl))*par8									32000	0
Static Field	42	sor	static field		20																		34691				ln12																																																																			sorceress_cast_lightning											light_cast_1																						1	10		none												SC	SC	SC					4															1							sorceress_cast_lightning			18	25					Telekinesis									1	1					1	8	9	0	1											(blvl < 1) ? 5 : 35	damage %	par3	min damage									5	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	35	Percent Damage.							1	min dmg synergy									1								8															ltng																						3000	0
Telekinesis	43	sor	telekinesis	12	21																						par1																																																																			sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																						1	10		none												SC	SC	xx														1						1							sorceress_telekinesis			12	25					Teleport									1	1					1	6	28	-1	1	1																						25	On-screen cast range.	35	Chance to knockback/stun.											7	damage synergy									1				5	2	109		8															ltng	10	10	20	30	40	40	20	10	20	30	40	40	(skill('Teleport'.blvl)+skill('Static Field'.blvl)+skill('Energy Shield'.blvl))*par8									3000	0
Frost Nova	44	sor	frost nova		22													frostnova	frostnova	frostnova																																																																										sorceress_cast_cold											ice_cast_2				25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																				36	10						sorceress_cast_cold			24	20					Glacial Spike									1	1					1	8	12	1	1																							9	radius of freeze	3	additional radius/level									4	freeze synergy	4	damage synergy									1								8															cold	6	6	7	8	9	9	12	6	7	8	9	9	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par7				3000	0
Elemental Fury	45	sor	elemental fury		116																			elementalfury		1500+lvl*500		manarecoverybonus	-ln12	passive_cold_pierce	lvl	passive_fire_pierce	lvl	passive_ltng_pierce	lvl	item_fastercastrate	200	manarecovery	-lvl*10-100																																																							sorceress_cast_cold											ice_cast_2																						1	7		none												SC	SC	SC																				1							sorceress_cast_cold			18	25					Glacial Spike									1	1					1	8	0	0	1	1																						50	mana regen penalty	20	additional penalty											1										1								8																																					3000	0
Blaze	46	sor	blaze		23													blaze	blaze	blaze				blaze		dm12	8+lvl/5																						velocitypercent	ln34																																												sorceress_cast_fire											fire_cast_2										blaze	blaze	blaze										1	3		none												SC	SC	xx																	1			1										1	30														0	1					1	7	6	2	1											1+lvl/20												50	Buff Duration Min	500	Buff Duration Max	2	Velocity % baseline	2	Velocity % per level							6	Damage synergy									1								4															fire	4	4	12	16	24	24	12	4	12	16	24	24	(skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Nova'.blvl))*par8								512	8000	0
Fire Ball	47	sor	fire ball												fireball																																																																															sorceress_cast_fire											fire_cast_2									fireball													1	5		none												SC	SC	SC																				1							sorceress_cast_fire			12	25					Fire Bolt									1	1					1	7	10	1	1											4+lvl/6																										6	damage synergy									1								8															fire	20	20	30	35	40	40	40	20	30	40	45	45	(skill('Fire Bolt'.blvl)+skill('Rain of Fire'.blvl)+skill('Nova'.blvl))*par8									8000	0
Nova	48	sor	nova		22													nova	nova	nova																																																																										sorceress_cast_lightning											fire_cast_2				25						nova				0	Missile Velocity Adder							1	2		none												SC	SC	SC																				36	10						sorceress_cast_lightning			24	20														1	1					1	8	15	1	1																							12	number of missiles	4	additional missiles per level											4	damage synergy									1								8															fire	6	6	7	8	9	9	12	6	7	8	9	9	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Rain of Fire'.blvl))*par8									8000	0
Lightning	49	sor	lightning												lightningbolt																																																																															sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none												SC	SC	SC				1																1							sorceress_cast_lightning			6	30					Charged Bolt									1	1					1	7	16	1	1																							10	minimum damage	20	max damage	4	increase in dam/level (min & max)									7	damage synergy									1								8															ltng	1	0	0	0	0	0	45	15	30	45	60	60	(skill('Charged Bolt'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8									8000	0
Shiver Armor	50	sor	shiver armor		18																			shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+skill('Fire Mastery'.blvl)*par8	passive_fire_pierce	blvl	item_absorbfire_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																																					sorceress_cast_fire				sorceress_shiverarmor							fire_cast_2	shiverarmor_hit													10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																				1							sorceress_cast_cold	ice_cast_3		1	30								1						0	1					1	7	22	1	1	1																						20	% AC base	10	% AC per level	3000	Duration	500	Duration per level					250	duration synergy	10	ac synergy									1								8															fire	10	10	15	20	25	25	15	10	15	20	25	25										8000	0
Fire Wall	51	sor	fire wall		8													firewave																																																																												sorceress_cast_fire															17						firewave												1	0		none												SC	SC	SC				1																							sorceress_cast_fire			18	25					SEruption									1	1					1	7	10	1	1											2+lvl/20																										6	damage synergy									1								7															fire	2	2	2	3	4	4	4	3	3	4	5	5	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Nova'.blvl))*par8									100	0
Enchant	52	sor	enchant		68													enchantcast						enchant	enchant	ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																																													sorceress_enchant															25						enchantcast												1	9		none												SC	SC	A1													1							1			1				sorceress_enchant			6	30								1						0	1					1	8	50	2	1	1																						3600	duration	500	duration per level											4	damage synergy									1	20	9						8															fire	2	2	3	5	6	6	4	2	4	6	8	8	(skill('Meteor Shower'.blvl)+skill('Fanatic Swing'.blvl))*par8									16000	0
Chain Lightning	53	sor	chain lightning		26													chainlightning	chainlightning	chainlightning							par1																																																																			sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC				1																151	96		4				sorceress_cast_lightning			24	20					Hydra									1	1					1	8	9	1	1											ln34 / par5	# hits											20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy									1								8															ltng	1	0	0	0	0	0	40	24	32	40	48	48	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl))*par8									16000	0
Teleport	54	sor	teleport		27																																																																																									sorceress_teleport											teleport																				1		1	0		none												SC	SC	xx																				1		1	2				sorceress_teleport	teleport		1	30								1						0	1					1	5	80	-1	1	1																																														1								8																																					16000	0
Glacial Spike	55	sor	glacial spike												glacialspike											ln34 * (100 + skill('Ice Bolt'.blvl) * par7) / 100	4+lvl/6																																																																			sorceress_cast_cold											ice_cast_2									glacialspike													1	7		none												SC	SC	SC																				1							sorceress_cast_cold			12	25					Ice Bolt									1	1					1	7	20	1	1																							5	radius	0	radius per level	50	freeze frames	3	freeze frames per level					6	freeze synergy	6	damage synergy									1								8															cold	15	15	20	30	35	35	30	15	25	30	35	35	(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8									16000	0
Rain of Fire	56	sor	meteor		123													svolcano									par1																																																																			sorceress_cast_fire				sorceress_meteor							fire_cast_2						91					svolcano											1	0		none												SC	SC	xx					4				1											1			4				sorceress_cast_fire	fire_cast_2		18	25					Fire Ball							100		1	1					1	8	50	3	1																	par2						12	debris range	2	delay between debris									7	damage synergy	7	fire damage synergy									1								8		8	8	18	26	34	34	18	8	18	26	34	34	(skill('Enchant'.blvl)+skill('Fanatic Swing'.blvl)+skill('Meteor Shower'.blvl))*par8	fire	8	8	18	26	34	34	18	8	18	26	34	34	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Meteor Shower'.blvl))*par8									32000	0
Thunder Storm Sorc	57	sor	thunder storm	13	29													thunderstorm2						thunderstorm		75																																																																				sorceress_thunder_cast											light_cast_1						84				thunderstorm2												1	5		none												SC	SC	SC																				1										30	20					Chain Lightning							100		0	1					1	8	50	3	1	1		1	5																			75	duration		additional duration/level		minimum repeat time		repeat time factor		min % repeat time		max % repeat time	20	radius	6	damage synergy									1								8															ltng	1						108	54	72	90	108	108	(skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Charged Bolt'.blvl)+skill('Hydra'.blvl))*par8									32000	0
Energy Shield	58	sor	energy shield		23																			energyshield		ln12														absorbdamage	24																																																					sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																						1	4		none												SC	SC	xx																				1										18	25					Charged Bolt	Telekinesis		1						0	1					1	8	5	0	1	1										"min(edmn,95)"	damage absorption	"max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('Teleport'.blvl)+skill('Static Field'.blvl))*par8)*4/25"	ratio									3600	duration	1500	additional duration/level					225	mana consumption %			4	self mana consumption synergy	3	mana consumption synergy									1								8																25	3	2	1	1	0																32000	0
Blizzard	59	sor	blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																																										sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none												SC	SC	xx					4				1								1			1							sorceress_cast_cold	ice_cast_3		18	25					Glacial Spike	Stwister								1	1					1	8	10	1	1											par1	Radius for Area of Effect	par3	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate							5	freeze synergy	5	Damage synergy									1								8															cold	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	100				(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7			768	32000	0
Chilling Armor	60	sor	chilling armor		18																			chillingarmor		ln34		skill_armor_percent	ln12+skill('Cold Mastery'.blvl)*par8	passive_cold_pierce	blvl	item_absorbcold_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																																					sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	chillarmor_hit									sparkle												1	0		none												SC	SC	xx																				1							sorceress_cast_cold	ice_cast_3		1	30								1						0	1					1	7	22	1	1	1																						20	% AC base	10	% AC per level	3000	Duration	500	Duration per level					250	duration synergy	10	ac synergy									1								7															cold	5	5	10	15	20	20	10	5	10	15	20	20		100	25	25	25					32000	0
Fire Mastery	61	sor	fire mastery																																											firemastery			passive_fire_mastery	(blvl<1)?(ln12):(ln12+56)																																																																													1	3		none												SC	SC	xx																														30	20														0	0					0	8	0	0	1								1															4	% Damage bonus	4	% Damage bonus per level																					1								8																																					64000	0
Hydra	62	sor	hydra	14	144																																												passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)																									hydra4	hydra	15	S2	HydraMissile	lvl	Charged Bolt	skill('Charged Bolt'.blvl)	Lightning	skill('Lightning'.blvl)	Thunder Storm Sorc	skill('Thunder Storm Sorc'.blvl)	Chain Lightning	skill('Chain Lightning'.blvl)			1	sorceress_cast_lightning											light_cast_1			17																			1	7		none												SC	SC	S1					4															1					1		sorceress_cast_fire	fire_cast_2		12	25					Lightning									1	1					1	8	10	1	1											ln12	Duration											250	duration	0	additional duration/level									5	duration synergy	6	damage synergy									1								7															ltng	1						120	60	80	100	120	120	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Chain Lightning'.blvl))*par8									64000	0
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery			passive_ltng_mastery	(blvl<1)?(ln12):(ln12+56)																																																																													1	5		none												SC	SC	xx																														30	20														0	0					0	8	0	0	1								1															4	% Damage bonus	4	% Damage bonus per level																					1								8																																					64000	0
Frozen Orb	64	sor	frozen orb												sfrozenorb																																																																															sorceress_cast_cold											ice_cast_3				29						sfrozenorb												1	8		none												SC	SC	SC																				1							sorceress_cast_cold			30	20					Blizzard							100		1	1					1	8	50	3	1																																			3	freeze synergy	3	damage synergy									1								8															cold	22	7	9	11	13	13	33	7	9	11	13	13	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par8	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par7				64000	0
